time_stamp,px_state,py_state,v_state,yaw_angle_state,yaw_rate_state,sensor_type,NIS,px_measured,py_measured,px_ground_truth,py_ground_truth,vx_ground_truth,vy_ground_truth,std_px_est,std_py_est,std_v_est,std_yaw_est,std_yaw_rate_est,RMSE_acc_px,RMSE_acc_py,RMSE_acc_vx,RMSE_acc_vy,ax_calc,ay_calc,delta t
1477010443600000,3.74681,0.427354,5.5902,-0.283836,-1.07537,lidar,2.09151,3.89365,0.311793,3.71772,0.62913,5.18754,0.139576,0.0643833,0.0878366,0.168069,0.123678,0.449851,0.0972826,0.0740542,1.84426,0.737011,0.041799999999999,-0.42792,0.05
1477010443650000,4.02757,0.511918,5.55134,-0.145754,-0.545195,radar,4.15138,4.19786,0.698311,3.97708,0.636689,5.18519,0.162724,0.064596,0.0797338,0.162353,0.0982636,0.332156,0.09471,0.0787673,1.77907,0.755946,0.046999999999997,-0.462959999999999,0.05
1477010443700000,4.30141,0.504041,5.53271,-0.138469,-0.461251,lidar,0.37021,4.30935,0.578564,4.23632,0.645449,5.18256,0.187614,0.0621881,0.0858356,0.162467,0.0985017,0.305841,0.0930293,0.0844024,1.72045,0.77051,0.052600000000016,-0.4978,0.05
1477010443750000,4.56185,0.540536,5.44636,-0.0973194,-0.322611,radar,2.05938,4.61908,0.68951,4.49542,0.655498,5.17962,0.214238,0.0625929,0.0858843,0.152103,0.0915765,0.268935,0.0915932,0.0866287,1.66691,0.768846,0.058799999999994,-0.53248,0.05
1477010443800000,4.75089,0.647775,5.28064,0.00463566,-0.0729914,lidar,12.8487,4.35143,0.899174,4.75437,0.666921,5.17634,0.242587,0.0607489,0.0881763,0.153205,0.0887272,0.247621,0.0888625,0.0841704,1.61734,0.747764,0.065600000000004,-0.56698,0.05
1477010443850000,5.00292,0.646679,5.21065,-0.00371802,-0.0853412,radar,1.85201,5.20901,0.66599,5.01315,0.679804,5.1727,0.272649,0.0612569,0.0890496,0.141752,0.0853761,0.229357,0.0863925,0.0821707,1.5718,0.729948,0.072799999999997,-0.60124,0.05
1477010443900000,5.30308,0.643656,5263,-0.0104912,-0.0901007,lidar,2.46199,5.51894,0.648233,5.27175,0.694234,5.16867,0.304413,0.0597713,0.0884528,0.144965,0.0815409,0.213946,0.084395,0.0808164,1.53003,0.715254,0.080600000000004,-0.63528,0.05
1477010443950000,5.56114,0.651461,5.2859,-0.00423635,-0.0679265,radar,1.74634,5.22834,0.639362,5.53013,0.710295,5.16422,0.337868,0.0603967,0.0909312,0.136614,0.0798218,0.204114,0.0825499,0.0798612,1.49153,0.701782,0.088999999999988,-0.6691,0.05
1477010444000000,5.85441,0.668094,5.3207,0.00447309,-0.0468646,lidar,1.57714,6022,0.708619,5.78828,0.728072,5.15932,0.372999,0.0590593,0.0888443,0.140845,0.0755352,0.193267,0.0818429,0.0790279,1.45601,0.689095,0.098000000000003,-0.702619999999999,0.05
1477010444050000,6.09718,0.593326,5.25254,-0.0521802,-0.143037,radar,3.6773,5.89392,0.373584,6.04618,0.747647,5.15393,0.409793,0.0597622,0.0926367,0.13358,0.0752117,0.189045,0.0806973,0.0839286,1.42267,0.688853,0.107800000000005,-0.73588,0.05
1477010444100000,6.35229,0.709297,5.22584,0.0276809,0.000840736,lidar,3.94795,6.34249,0.948833,6.30379,0.769103,5.14803,0.448233,0.0584735,0.0890537,0.138445,0.0709556,0.181644,0.0795687,0.0830257,1.39149,0.676679,0.117999999999991,-0.768800000000001,0.05
1477010444150000,6.6028,0.741371,5.18556,0.0430636,0.0242789,radar,0.608693,6.62134,0.836138,6.5611,0.792523,5.14157,0.488305,0.0592266,0.0934091,0.131678,0.0717973,0.180966,0.0783569,0.0819455,1.36222,0.664637,0.129200000000012,-0.80144,0.05
1477010444200000,6.84974,0.740116,5.17189,0.0367357,0.0124845,lidar,0.281871,6.78214,0.714036,6.81808,0.817988,5.13452,0.52999,0.0581346,0.0887814,0.136967,0.0679286,0.176008,0.0770344,0.0817865,1.33471,0.654751,0.140999999999991,-0.833700000000002,0.05
1477010444250000,7.09323,0.722283,5.09041,0.0184863,-0.0207243,radar,2.97449,7.29121,0.630741,7.07469,0.845578,5.12685,0.573269,0.0589351,0.0938057,0.130594,0.0697151,0.177384,0.0756259,0.0837642,1.30881,0.648877,0.153400000000001,-0.865579999999999,0.05
1477010444300000,7.31275,0.809811,5.04269,0.0688502,0.0591181,lidar,3.14405,7.13735,0.957217,7.3309,0.875373,5.11851,0.618123,0.0578616,0.0885007,0.13612,0.0662845,0.173904,0.0742944,0.0831611,1.28446,0.638883,0.166800000000009,-0.897079999999999,0.05
1477010444350000,7.60379,0.821309,5.14829,0.0679072,0.0544199,radar,4.37785,8.08349,0.819605,7.58668,0.907449,5.10946,0.664531,0.0586973,0.0939257,0.129866,0.0688725,0.176547,0.0730273,0.0832693,1.26132,0.630192,0.180999999999987,-0.92816,0.05
1477010444400000,7.85368,0.798204,5.13989,0.0465673,0.0177544,lidar,0.538757,7.80533,0.719126,7.84199,0.941886,5.09966,0.712469,0.057712,0.0884344,0.135564,0.0657318,0.173721,0.0717899,0.0860614,1.2394,0.625435,0.196000000000005,-0.958760000000001,0.05
1477010444450000,8.10362,0.815535,5084,0.0492599,0.0179182,radar,2.35604,8.40453,0.884557,8.0968,0.978759,5.08907,0.761915,0.0585765,0.0949069,0.12955,0.0688958,0.176943,0.0705942,0.0897092,1.21857,0.621975,0.211799999999993,-0.98892,0.05
1477010444500000,8.34059,0.834128,5.06301,0.0542865,0.0244325,lidar,0.451612,8.24796,0.840322,8.35106,1.01814,5.07766,0.812843,0.0575871,0.0888095,0.135303,0.0658096,0.174225,0.0694717,0.0942361,1.19876,0.619448,0.228200000000012,-1.01856,0.05
1477010444550000,8.60776,0.930067,5.15207,0.105075,0.103128,radar,6.91382,8.45858,1.41118,8.60472,1.06011,5.06537,0.865226,0.0584712,0.0957419,0.129339,0.0694492,0.177878,0.0683797,0.0955583,1.17993,0.612391,0.245800000000003,-1.04766,0.05
1477010444600000,8.84426,0.992072,5.12909,0.131171,0.135338,lidar,0.738757,8.74615,1.04858,8.85775,1.10473,5.05216,0.919037,0.0575669,0.0893237,0.135132,0.0662666,0.174973,0.0673766,0.0961213,1.16193,0.604586,0.264199999999999,-1.07622,0.05
1477010444650000,9.13253,1.03316,5.18791,0.139905,0.137341,radar,6.73197,9.8809,1.1419,9.1101,1.15208,5.03798,0.974245,0.058502,0.0969737,0.129115,0.0702388,0.178859,0.0664898,0.0968685,1.14484,0.59718,0.283599999999993,-1.10416,0.05
1477010444700000,9.36944,1.0655,5.16251,0.145215,0.135442,lidar,0.685934,9.25579,1.04913,9.36172,1.20223,5.0228,1.03082,0.05762,0.0900466,0.13498,0.0667986,0.175586,0.065546,0.0982321,1.12846,0.590538,0.303599999999999,-1.1315,0.05
1477010444750000,9.64696,1.14499,5.21681,0.174273,0.168472,radar,4.39935,10.1016,1.52474,9.61255,1.25524,5.00656,1.08873,0.058595,0.0983699,0.12907,0.071045,0.179653,0.0648832,0.0985856,1.11289,0.583087,0.324799999999996,-1.1582,0.05
1477010444800000,9.9178,1.2808,5.25039,0.233301,0.244689,lidar,2.71476,10.0484,1.44598,9.86254,1.31118,4.98922,1.14794,0.0577293,0.0908346,0.134948,0.0672698,0.175979,0.0646418,0.0973724,1.09792,0.575256,0.346799999999998,-1.1842,0.05
1477010444850000,10.1642,1.38624,5.19947,0.274485,0.29374,radar,4.33705,10.5377,1.72555,10.1117,1.37011,4.97074,1.20841,0.0587785,0.0995526,0.129463,0.0713901,0.179582,0.0643537,0.0961182,1.08339,0.568571,0.369600000000005,-1.2094,0.05
1477010444900000,10.3887,1.46404,5.1693,0.294773,0.303115,lidar,1.01656,10.2492,1.45907,10.3598,1.4321,4.95106,1.2701,0.0580221,0.0912411,0.135253,0.0673957,0.175805,0.0636915,0.0950157,1.06941,0.562459,0.393600000000003,-1.2338,0.05
1477010444950000,10.6181,1.5665,5.09201,0.332365,0.346437,radar,3.60133,10.9084,1.70343,10.6069,1.49721,4.93014,1.33298,0.0591453,0.0998785,0.130386,0.0714021,0.17906,0.062915,0.0944581,1.05612,0.557806,0.418400000000005,-1.2576,0.05
1477010445000000,10846,1.58309,5.05368,0.312685,0.292098,lidar,1.79513,10.7313,1.45265,10853,1.56549,4.90794,1.39701,0.0583822,0.0910823,0.135916,0.067431,0.175529,0.0621526,0.0933395,1.04328,0.551511,0.443999999999996,-1.2806,0.05
1477010445050000,11.1115,1.63525,5.09632,0.306659,0.25744,radar,2.19318,11.4783,1.42876,11.0979,1637,4.8844,1.46213,0.0595596,0.099907,0.13129,0.0716984,0.179109,0.0614443,0.0922221,1.03079,0.545033,0.470799999999993,-1.3024,0.05
1477010445100000,11.3931,1.66719,5.12727,0.288313,0.209913,lidar,2.24507,11587,1.61462,11.3416,1.71179,4.85948,1.52832,0.0585934,0.0911682,0.136509,0.0676677,0.175623,0.0612308,0.0913969,1.01877,0.538766,0.498400000000014,-1.3238,0.05
1477010445150000,11.6242,1.72808,5.08211,0.294997,0.207314,radar,0.909102,11.4763,1.53917,11584,1.78992,4.83313,1.59551,0.0598255,0.100876,0.131565,0.0724076,0.179876,0.0608325,0.090832,1.00714,0.532905,0.526999999999998,-1.3438,0.05
1477010445200000,11.8553,1.78557,5.06086,0.297123,0.195421,lidar,0.398082,11.7788,1.74591,11.8251,1.87144,4.80531,1.66366,0.0587211,0.0917207,0.136623,0.0681044,0.176077,0.0603209,0.0907248,0.995896,0.527648,0.556399999999986,-1.363,0.05
1477010445250000,12.1097,1.87928,5.12091,0.312584,0.199021,radar,1.34942,12136,2.14937,12.0647,1.95639,4.77598,1.73273,0.0599827,0.101594,0.131738,0.0729761,0.180385,0.0600292,0.0904506,0.985115,0.522401,0.586599999999997,-1.3814,0.05
1477010445300000,12.3558,1.89422,5.09586,0.28604,0.145183,lidar,0.907366,12.3226,1.78353,12.3029,2.04482,4.74508,1.80265,0.0588711,0.0921425,0.13668,0.0684476,0.176368,0.059887,0.0921402,0.974804,0.519546,0.618000000000016,-1.3984,0.05
1477010445350000,12.6122,1.95172,5.13942,0.28046,0.121729,radar,1.00575,12.5457,1.77728,12.5394,2.13677,4.71257,1.87338,0.0601783,0.102507,0.131604,0.0735477,0.180952,0.0601842,0.0950071,0.965148,0.518207,0.650199999999987,-1.4146,0.05
1477010445400000,12.8101,2.09397,5.11125,0.332464,0.189845,lidar,3.11763,12.5924,2.17509,12.7743,2.23227,4.67842,1.94485,0.0588948,0.0927296,0.136533,0.0687479,0.17665,0.0597852,0.0960859,0.955499,0.514412,0.683000000000007,-1.4294,0.05
1477010445450000,13.0757,2.20255,5.20461,0.346349,0.187361,radar,3.4276,13.2198,2.6644,13.0075,2.33137,4.64258,2.01701,0.060249,0.103134,0.132032,0.0736062,0.180655,0.0599665,0.0968491,0.946572,0.51047,0.716800000000006,-1.4432,0.05
1477010445500000,13.2775,2.34783,5.17977,0.392765,0.242218,lidar,2.26174,13.0875,2.40708,13.2388,2.43409,4605,2.08981,0.0591404,0.0929812,0.13679,0.0686569,0.176348,0.0596223,0.0966526,0.937586,0.505664,-92007.1484,-1.456,0.05
1477010445550000,13.4532,2.5131,5.07901,0.458644,0.335404,radar,10.3389,12.7087,3.12439,13.4682,2.54047,4.56565,2.16317,0.0605704,0.103292,0.133133,0.0730262,0.179426,0.0590826,0.0957939,0.928528,0.500919,92008.687,-1.4672,0.05
1477010445600000,13.7042,2.61751,5.10392,0.465826,0.320771,lidar,0.917275,13836,2.62479,13.6955,2.65053,4.52448,2.23703,0.0596534,0.092475,0.137534,0.0682489,0.175612,0.0585347,0.0949942,0.91974,0.496229,0.823399999999985,-1.4772,0.05
1477010445650000,13.9225,2.73736,5.08825,0.486818,0.330559,radar,0.146004,13.8302,2.73893,13.9208,2.7643,4.48147,2.31134,0.0611346,0.102133,0.135024,0.071968,0.177535,0.0579906,0.0941819,0.911186,0.491703,0.860200000000013,-1.4862,0.05
1477010445700000,14151,2.88552,5.11181,0.516684,0.349297,lidar,0.382834,14.2106,2.94205,14.1439,2.88179,4.43656,2.38601,0.0601077,0.0916847,0.138837,0.0675404,0.174475,0.0574692,0.0933231,0.902866,0.487574,0.898199999999996,-1.4934,0.05
1477010445750000,14.4027,2.98968,5.17544,0.506152,0.293554,radar,1.70947,14.5568,2.87021,14.3646,3.00303,4.38974,2.46099,0.0616559,0.101148,0.137178,0.070914,0.17582,0.0571812,0.0925033,0.894955,0.483243,0.936400000000006,-1.49959999999999,0.05
1477010445800000,14.6136,3.04979,5.11309,0.489709,0.250292,lidar,2.44493,14.4616,2.90734,14583,3.12802,4.34097,2.5362,0.0605184,0.0911223,0.140305,0.0667453,0.173345,0.0568222,0.0922721,0.887359,0.479301,0.975399999999986,-1.5042,0.05
1477010445850000,14.8436,3.20529,5.17513,0.512959,0.256393,radar,3.68411,14.6754,3.96041,14.7989,3.25679,4.29021,2.61157,0.0621944,0.1013,0.137879,0.0710086,0.17628,0.0566346,0.0917227,0.880146,0.475244,1.01520000000001,-1.5074,0.05
1477010445900000,15.0492,3.40019,5.20281,0.563463,0.310309,lidar,0.862492,15.0261,3.5067,15.0122,3.38932,4.23744,2.68703,0.0608891,0.0911473,0.14069,0.0667867,0.173664,0.0563589,0.0909531,0.872907,0.471352,1.0554,-1.5092,0.05
1477010445950000,15.2573,3.57533,5.19606,0.603799,0.354277,radar,2.37049,15.3685,4.14761,15.2228,3.52563,4.18263,2.76249,0.0626215,0.100922,0.139689,0.0700819,0.174702,0.0560649,0.0904199,0.865688,0.468035,1.09620000000001,-1.5092,0.05
1477010446000000,15471,3.75887,5.22516,0.637916,0.377118,lidar,0.455661,15.5236,3.82936,15.4306,3.66572,4.12575,2.83789,0.0614946,0.0905581,0.14191,0.0660531,0.172563,0.0558427,0.0904653,0.858612,0.465505,1.13759999999999,-1.50799999999999,0.05
1477010446050000,15683,3.89367,5.21144,0.644738,0.359934,radar,1.08685,15.7234,3.4105,15.6355,3.80957,4.06678,2.91315,0.0632451,0.0996817,0.142268,0.068394,0.171954,0.0557176,0.0903661,0.851752,0.462571,1.17940000000001,-1.5052,0.05
1477010446100000,15908,4.02724,5.21015,0.646339,0.336533,lidar,0.33176,15.9774,4.00094,15.8375,3.95719,4.00571,2.98817,0.0620202,0.0896192,0.143723,0.0647765,0.170698,0.0559837,0.0900795,0.845186,0.459273,1.2214,-1.50040000000001,0.05
1477010446150000,16.1007,4.19802,5.17066,0.682415,0.380755,radar,1.71886,16.3376,4.21632,16.0363,4.10854,3.94251,3.0629,0.0638973,0.0990336,0.143899,0.067611,0.171064,0.0561259,0.0900701,0.838603,0.456343,1.26399999999999,-1.49459999999999,0.05
1477010446200000,16.2985,4.38923,5.19419,0.713731,0.397568,lidar,0.2507,16.3313,4.44499,16.2319,4.26363,3.87716,3.13723,0.0625524,0.0889925,0.144811,0.0642254,0.170154,0.0563022,0.090722,0.83215,0.453994,1.307,-1.4866,0.05
1477010446250000,16.5092,4.55303,5.21105,0.722897,0.377839,radar,0.707974,16.7586,4.48231,16.4242,4.42242,3.80966,3.21109,0.0644154,0.0977956,0.14615,0.0662253,0.168974,0.0568468,0.0914563,0.82591,0.45148,1.35,-1.4772,0.05
1477010446300000,16.6891,4.71616,5.18758,0.740824,0.377196,lidar,0.474592,16.6039,4.67344,16613,4.5849,3.74,3.28438,0.0630368,0.0880999,0.146409,0.0632059,0.168741,0.0571828,0.0921769,0.819793,0.448879,1.3932,-1.4658,0.05
1477010446350000,16.8354,4.92432,5.11422,0.807169,0.480725,radar,4.16355,16.9236,5.10119,16.7983,4.75103,3.66817,3.35704,0.064995,0.0969127,0.147911,0.0652788,0.167739,0.0569388,0.0938791,0.813899,0.447438,1.43660000000001,-1.4532,0.05
1477010446400000,16.9989,5.14573,5.1402,0.849114,0.505193,lidar,0.292629,16.9955,5.21099,16.9799,4.92077,3.59416,3.42897,0.0636667,0.087092,0.147659,0.0625926,0.16799,0.0565705,0.0970515,0.808333,0.447187,1.4802,-1.4386,0.05
1477010446450000,17.1678,5.32098,5.11428,0.868777,0.503136,radar,1.78059,17.3421,4.64623,17.1579,5.09409,3.51797,3.50008,0.065442,0.0946892,0.150961,63,0.16407,0.0561776,0.100099,0.802951,0.446611,1.5238,-1.4222,0.05
1477010446500000,17.3292,5.49442,5.08772,0.884878,0.491546,lidar,0.288138,17.2894,5.43542,17.3319,5.27094,3.4396,3.57028,0.0641359,0.0854788,0.150027,0.0609443,0.165488,0.0557815,0.102869,0.797692,0.445586,1.5674,-1.404,0.05
1477010446550000,17.4838,5.66952,5.04617,0.906991,0.498445,radar,3.2593,17.6463,4.74597,17.5019,5.45128,3.35907,3.63949,0.0659956,0.093079,0.153411,0.0615688,0.162174,0.0554339,0.105341,0.792681,0.44424,1.6106,-1.3842,0.05
1477010446600000,17.6835,5.78055,4.98133,0.882582,0.432671,lidar,2.37112,17.7853,5.62476,17.6679,5.63506,3.27637,3.70762,0.0645545,0.0842911,0.151878,0.0599518,0.164241,0.0550832,0.105993,0.787343,0.44149,1.654,-1.3626,0.05
1477010446650000,17.8231,5.98472,4.95642,0.923733,0.477314,radar,0.869427,17.9216,6.07151,17.8297,5.82221,3.19151,3.77458,0.0665984,0.0922227,0.154661,0.061434,0.162442,0.0547151,0.106956,0.782363,0.438996,1.6972,-1.33920000000001,0.05
1477010446700000,18.0002,6.16686,4.9596,0.930728,0.453817,lidar,0.876051,18.1263,6.16985,17.9872,6.01269,3.10453,3.84027,0.0649655,0.083656,0.152718,0.0599995,0.164557,0.0543698,0.107722,0.777304,0.436349,1.7396,-1.3138,0.05
1477010446750000,18.1487,6.3772,4.97739,0.95448,0.452344,radar,0.654886,18.1245,6.79027,18.1402,6.20641,3.01542,3.90462,0.0670075,0.0913193,0.156119,0.0609234,0.161611,0.0540197,0.10879,0.772336,0.433842,1.7822,-1.28699999999999,0.05
1477010446800000,18.2694,6.61203,4.99978,0.995177,0.47661,lidar,0.347574,18.2164,6.66138,18.2888,6.40332,2.92421,3.96753,0.0653702,0.0830079,0.153755,0.0596523,0.163957,0.0537136,0.110667,0.767652,0.431789,1.8242,-1.2582,0.05
1477010446850000,18.3995,6.82968,5.00224,1.02448,0.487478,radar,0.17222,18.4022,7.02231,18.4328,6.60333,2.83093,4.0289,0.0673619,0.0902477,0.157953,0.0596521,0.15944,0.0535012,0.112903,0.763167,0.429909,1.8656,-1.2274,0.05
1477010446900000,18.5527,6.95819,4.91047,1.0104,0.437945,lidar,2.49701,18.5422,6.76013,18572,6.80638,2.7356,4.08867,0.0658401,0.0820644,0.155162,0.0586375,0.162336,0.0532058,0.113479,0.758453,0.427254,1.9066,-1.19539999999999,0.05
1477010446950000,18.7042,7.1625,4.93845,1.01212,0.393246,radar,0.726809,18.8089,7.24388,18.7064,7.01237,2.63825,4.14672,0.0679756,0.0893877,0.159076,0.05913,0.158861,0.0528729,0.11401,0.753702,0.4246,1.94699999999999,-1.16100000000001,0.05
1477010447000000,18.9087,7.29128,4.88138,0.976874,0.320318,lidar,4.16861,19.1441,7.18344,18.8359,7.22122,2.53893,4.20299,0.0661379,0.0815471,0.155956,0.0582689,0.161946,0.0531636,0.113571,0.749341,0.422333,1.9864,-1.12539999999999,0.05
1477010447050000,18.9923,7.50006,4.82081,1.03004,0.399459,radar,4.10098,18.5479,7.4012,18.9604,7.43283,2.43767,4.25737,0.068604,0.0893404,0.158835,0.0598245,0.160287,0.0529559,0.11312,0.744773,0.419975,2.0252,-1.0876,0.05
1477010447100000,19.0806,7.76347,4.87304,1.08066,0.440191,lidar,1.05196,19.0138,7.8688,19.0798,7.64712,2.3345,4.3098,0.0665639,0.0813708,0.155605,0.0589216,0.163066,0.052636,0.11316,0.740287,0.417439,2.0634,-1.0486,0.05
1477010447150000,19.2026,7.96994,4.87291,1.09198,0.41922,radar,0.333918,19.3089,7.67375,19.1939,7.86397,2.22949,4.36017,0.06872,0.0883132,0.160185,0.0586337,0.158024,0.0523304,0.113077,0.735869,0.414965,2.1002,-1.0074,0.05
1477010447200000,19.2813,8.18516,4.85303,1.12459,0.435372,lidar,1.34299,19132,8.12845,19.3028,8.08329,2.12266,4.40842,0.0668671,0.0805114,0.156718,0.0579665,0.161373,0.0520739,0.112951,0.731534,0.41253,2.1366,-0.965000000000007,0.05
1477010447250000,19.3818,8.39482,4.8524,1.13551,0.406229,radar,2.30411,19.0239,8.17194,19.4062,8.30497,2.01409,4.45445,0.0690448,0.0872331,0.161501,0.057447,0.156221,0.0518369,0.11271,0.727277,0.410166,2.17140000000001,-0.920599999999983,0.05
1477010447300000,19.48,8.53974,4.74896,1.13526,0.381646,lidar,3.97622,19347,8.30741,19.5042,8.5289,1.90381,4.49819,0.0671638,0.0796499,0.157807,0.0570368,0.160065,0.0516037,0.112066,0.723164,0.408325,2.2056,-0.874800000000011,0.05
1477010447350000,19.5699,8.74972,4.72769,1.16136,0.400915,radar,0.579341,19.6843,8.35902,19.5966,8.75494,1.7919,4.53956,0.0695193,0.0864314,0.162215,0.057128,0.156122,0.0513889,0.111429,0.719108,0.406572,2.2382,-0.827399999999994,0.05
1477010447400000,19737,8.91785,4.69547,1.1372,0.34309,lidar,4.15492,20.0039,8.8906,19.6835,8983,1.67841,4.57848,0.0674454,0.0789984,0.158366,0.0569044,0.16011,0.0514132,0.111016,0.715737,0.40568,2.2698,-0.778400000000001,0.05
1477010447450000,19.8074,9.14202,4.67819,1.17929,0.39613,radar,1.05514,19.6061,9.48659,19.7645,9.21294,1.56341,4.61488,0.0699804,0.0858608,0.162472,0.0573723,0.156745,0.0513258,0.110651,0.712133,0.404582,2.3,-0.728000000000009,0.05
1477010447500000,19.9396,9.36466,4.70614,1.18147,0.372055,lidar,2.97278,20.1574,9.45949,19.8398,9.44463,1.44697,4.64869,0.067813,0.0785492,0.158511,0.057216,0.160659,0.0521035,0.11036,0.709102,0.403538,2.3288,-0.676199999999998,0.05
1477010447550000,19.9797,9.59231,4.6705,1.24075,0.458398,radar,2.58603,19.6163,9.76606,19.9093,9.67795,1.32916,4.67984,0.0703058,0.085181,0.163154,0.0570297,0.156079,0.0523377,0.110121,0.7055,0.402263,2.3562,-0.623000000000005,0.05
1477010447600000,20.0663,9.8307,4.69957,1.26185,0.455282,lidar,0.753341,20.1573,9.90876,19.9728,9.91275,1.21005,4.70826,0.0682277,0.0778738,0.159057,0.0569823,0.160175,0.0529524,0.109857,0.702064,0.400812,2.3822,-0.568399999999993,0.05
1477010447650000,20.1276,10.0791,4.74238,1.28485,0.439728,radar,7.19655,19.1911,11.5493,20.0303,10.1489,1.08972,4.73389,0.0704824,0.0839804,0.164537,0.0556463,0.153805,0.0536181,0.109509,0.698787,0.399126,2.4066,-0.512599999999992,0.05
1477010447700000,20.1732,10.3516,4.79972,1.32471,0.461432,lidar,0.849964,20166,10.4687,20.0818,10.3863,0.968259,4.75666,0.0685016,0.0769792,0.160271,0.0558362,0.158441,0.0541541,0.108989,0.695406,0.397157,2.42922,-0.455400000000008,0.05
1477010447750000,20.1851,10.5923,4.78194,1.38226,0.530702,radar,2.59639,19.6775,10803,20.1271,10.6247,0.845742,4.77652,0.0706798,0.0827834,0.166115,0.053743,0.151125,0.0541959,0.10847,0.691793,0.395166,2.45034,-0.397199999999991,0.05
1477010447800000,20.2425,10.8629,4.83723,1.40857,0.528428,lidar,2.03204,20371,11.0109,20.1663,10864,0.722256,4.7934,0.0688253,0.0758658,0.161675,0.0542423,0.156392,0.0544675,0.107909,0.688244,0.393128,2.46972,-0.337600000000009,0.05
1477010447850000,20.2727,11.1194,4.86902,1.43293,0.511144,radar,4.92542,19.4335,12.3402,20.1993,11.1041,0.597892,4.80727,0.0708274,0.0812548,0.167928,0.0514008,0.148194,0.0546927,0.107368,0.684762,0.391121,2.48728,-0.277399999999997,0.05
1477010447900000,20.3066,11.3565,4.8637,1.45618,0.50846,lidar,0.010427,20.3164,11.3483,20.2261,11.3449,0.472738,4.81807,0.0689867,0.0747688,0.163316,0.0522736,0.154129,0.0550138,0.106831,0.681346,0.389143,2.50308,-0.216000000000012,0.05
